Dates,PX_LAST
4/14/2017,5353.59
4/17/2017,5399.2
4/18/2017,5391.66
4/19/2017,5399.64
4/20/2017,5443.53
4/21/2017,5442.05
4/24/2017,5508.03
4/25/2017,5548.19
4/26/2017,5541.09
4/27/2017,5571.28
4/28/2017,5583.53
5/1/2017,5629.63
5/2/2017,5644.07
5/3/2017,5625.16
5/4/2017,5626.32
5/5/2017,5646.09
5/8/2017,5659.07
5/9/2017,5678.31
5/10/2017,5681.68
5/11/2017,5674.22
5/12/2017,5686.81
5/15/2017,5704.48
5/16/2017,5724.44
5/17/2017,5580.55
5/18/2017,5626.31
5/19/2017,5651.56
5/22/2017,5699.4
5/23/2017,5703.35
5/24/2017,5730.3
5/25/2017,5778.38
5/26/2017,5788.36
5/29/2017,5788.36
5/30/2017,5794.63
5/31/2017,5788.8
6/1/2017,5816.51
6/2/2017,5881.46
6/5/2017,5878.12
6/6/2017,5856.77
6/7/2017,5877.59
6/8/2017,5885.3
6/9/2017,5741.94
6/12/2017,5708.18
6/13/2017,5751.82
6/14/2017,5727.07
6/15/2017,5700.89
6/16/2017,5681.48
6/19/2017,5772.22
6/20/2017,5726.31
6/21/2017,5782.39
6/22/2017,5779.87
6/23/2017,5803.11
6/26/2017,5777.59
6/27/2017,5671.6
6/28/2017,5753.03
6/29/2017,5653.02
6/30/2017,5646.92
7/3/2017,5596.96
7/4/2017,5596.96
7/5/2017,5648.82
7/6/2017,5597.91
7/7/2017,5656.47
7/10/2017,5694.15
7/11/2017,5709.8
7/12/2017,5778.95
7/13/2017,5793.36
7/14/2017,5838.08
7/17/2017,5839.74
7/18/2017,5880.1
7/19/2017,5916.16
7/20/2017,5921.22
7/21/2017,5921.53
7/24/2017,5941.37
7/25/2017,5930.65
7/26/2017,5950.73
7/27/2017,5917.03
7/28/2017,5908.92
7/31/2017,5880.33
8/1/2017,5895.17
8/2/2017,5914.23
8/3/2017,5891.2
8/4/2017,5899.91
8/7/2017,5934.73
8/8/2017,5926.35
8/9/2017,5919.39
8/10/2017,5788.19
8/11/2017,5831.53
8/14/2017,5908.17
8/15/2017,5907.73
8/16/2017,5917.42
8/17/2017,5796.32
8/18/2017,5790.91
8/21/2017,5786.54
8/22/2017,5873.33
8/23/2017,5851.78
8/24/2017,5834.44
8/25/2017,5822.53
8/28/2017,5838.08
8/29/2017,5862.14
8/30/2017,5932.9
8/31/2017,5988.6
9/1/2017,5987.9
9/4/2017,5987.9
9/5/2017,5932.73
9/6/2017,5951.13
9/7/2017,5964.31
9/8/2017,5913.37
9/11/2017,5980.53
9/12/2017,5995.64
9/13/2017,6004.38
9/14/2017,5968.82
9/15/2017,5988
9/18/2017,5981.12
9/19/2017,5991.08
9/20/2017,5973.6
9/21/2017,5934.91
9/22/2017,5932.32
9/25/2017,5867.35
9/26/2017,5881.34
9/27/2017,5937.79
9/28/2017,5933.07
9/29/2017,5979.3
10/2/2017,5981.92
10/3/2017,5995.06
10/4/2017,5998.84
10/5/2017,6057.14
10/6/2017,6064.57
10/9/2017,6058.53
10/10/2017,6063.52
10/11/2017,6081.25
10/12/2017,6069.99
10/13/2017,6092.45
10/16/2017,6114.53
10/17/2017,6122.61
10/18/2017,6114.35
10/19/2017,6092.62
10/20/2017,6108.82
10/23/2017,6067.83
10/24/2017,6080.22
10/25/2017,6055.04
10/26/2017,6037.87
10/27/2017,6213.47
10/30/2017,6227.59
10/31/2017,6248.56
11/1/2017,6248.65
11/2/2017,6236.39
11/3/2017,6295.58
11/6/2017,6313.61
11/7/2017,6320.78
11/8/2017,6345.81
11/9/2017,6312.21
11/10/2017,6309.07
11/13/2017,6316.18
11/14/2017,6293.64
11/15/2017,6258.36
11/16/2017,6339.14
11/17/2017,6314.51
11/20/2017,6308.61
11/21/2017,6378.63
11/22/2017,6386.12
11/23/2017,6386.12
11/24/2017,6409.29
11/27/2017,6405.97
11/28/2017,6422.56
11/29/2017,6311.38
11/30/2017,6365.56
12/1/2017,6337.87
12/4/2017,6263.7
12/5/2017,6265.11
12/6/2017,6293.05
12/7/2017,6316.28
12/8/2017,6344.57
12/11/2017,6393.89
12/12/2017,6383.65
12/13/2017,6394.67
12/14/2017,6389.91
12/15/2017,6466.32
12/18/2017,6513.27
12/19/2017,6480.67
12/20/2017,6472.48
12/21/2017,6472.69
12/22/2017,6465.17
12/25/2017,6465.17
12/26/2017,6433.16
12/27/2017,6435.15
12/28/2017,6441.42
12/29/2017,6396.42
1/1/2018,6396.42
1/2/2018,6511.34
1/3/2018,6575.8
1/4/2018,6584.58
1/5/2018,6653.29
1/8/2018,6676.63
1/9/2018,6677.94
1/10/2018,6662.66
1/11/2018,6708.49
1/12/2018,6758.54
1/15/2018,6758.54
1/16/2018,6737.14
1/17/2018,6810.28
1/18/2018,6811.38
1/19/2018,6834.33
1/22/2018,6906.28
1/23/2018,6963.46
1/24/2018,6919.35
1/25/2018,6916.3
1/26/2018,7022.97
1/29/2018,6988.32
1/30/2018,6930.73
1/31/2018,6949.99
2/1/2018,6901.5
2/2/2018,6760.29
2/5/2018,6495.92
2/6/2018,6665.98
2/7/2018,6582.02
2/8/2018,6306.1
2/9/2018,6412.68
2/12/2018,6523.85
2/13/2018,6553.86
2/14/2018,6675.03
2/15/2018,6794.92
2/16/2018,6770.66
2/19/2018,6770.66
2/20/2018,6779.7
2/21/2018,6759.26
2/22/2018,6761.85
2/23/2018,6896.6
2/26/2018,6989.1
2/27/2018,6900.35
2/28/2018,6854.42
3/1/2018,6750.54
3/2/2018,6811.04
3/5/2018,6881.28
3/6/2018,6913.02
3/7/2018,6929.39
3/8/2018,6966.43
3/9/2018,7101.18
3/12/2018,7131.12
3/13/2018,7046.51
3/14/2018,7040.98
3/15/2018,7030.97
3/16/2018,7019.95
3/19/2018,6864.88
3/20/2018,6885.92
3/21/2018,6853.45
3/22/2018,6682.26
3/23/2018,6508.09
3/26/2018,6753.83
3/27/2018,6529.84
3/28/2018,6460.81
3/29/2018,6581.13
3/30/2018,6581.13
4/2/2018,6390.84
4/3/2018,6458.83
4/4/2018,6560.06
4/5/2018,6594.84
4/6/2018,6433.21
4/9/2018,6472.34
4/10/2018,6615.87
4/11/2018,6583.44
4/12/2018,6656.26
4/13/2018,6628.34
4/16/2018,6675.18
4/17/2018,6816.37
4/18/2018,6833.21
4/19/2018,6774.89
4/20/2018,6667.75
4/23/2018,6648.8
4/24/2018,6509.05
4/25/2018,6513.94
4/26/2018,6649.65
4/27/2018,6656.35
4/30/2018,6605.57
5/1/2018,6681.96
5/2/2018,6644.48
5/3/2018,6643.48
5/4/2018,6769.12
5/7/2018,6821.87
5/8/2018,6815.48
5/9/2018,6893.21
5/10/2018,6963.55
5/11/2018,6952.56
5/14/2018,6964.37
5/15/2018,6888.54
5/16/2018,6929.97
5/17/2018,6901.63
5/18/2018,6866.25
5/21/2018,6905.53
5/22/2018,6893.62
5/23/2018,6953.63
5/24/2018,6949.7
5/25/2018,6960.92
5/28/2018,6960.92
5/29/2018,6926.54
5/30/2018,6976.37
5/31/2018,6967.73
6/1/2018,7083.93
6/4/2018,7143.57
6/5/2018,7166.75
6/6/2018,7210.08
6/7/2018,7152.83
6/8/2018,7152.62
6/11/2018,7168.48
6/12/2018,7209.18
6/13/2018,7205.26
6/14/2018,7279.59
6/15/2018,7255.76
6/18/2018,7251.41
6/19/2018,7228.04
6/20/2018,7280.71
6/21/2018,7217.49
6/22/2018,7197.51
6/25/2018,7038.17
6/26/2018,7068.2
6/27/2018,6969.67
6/28/2018,7031.6
6/29/2018,7040.8
7/2/2018,7097.82
7/3/2018,7014.55
7/4/2018,7014.55
7/5/2018,7101.05
7/6/2018,7207.33
7/9/2018,7276
7/10/2018,7282.6
7/11/2018,7243.98
7/12/2018,7366.25
7/13/2018,7375.82
7/16/2018,7357.9
7/17/2018,7403.89
7/18/2018,7390.13
7/19/2018,7352.36
7/20/2018,7350.23
7/23/2018,7371.78
7/24/2018,7406.25
7/25/2018,7508.59
7/26/2018,7400.75
7/27/2018,7296.78
7/30/2018,7193.1
7/31/2018,7231.98
8/1/2018,7272.89
8/2/2018,7372.15
8/3/2018,7395.49
8/6/2018,7439
8/7/2018,7462.65
8/8/2018,7469.55
8/9/2018,7466.96
8/10/2018,7408.3
8/13/2018,7401.17
8/14/2018,7447.17
8/15/2018,7354.66
8/16/2018,7374.3
8/17/2018,7377.54
8/20/2018,7371.42
8/21/2018,7397.23
8/22/2018,7424.6
8/23/2018,7413.84
8/24/2018,7485.4
8/27/2018,7559.13
8/28/2018,7570.25
8/29/2018,7660.18
8/30/2018,7642.67
8/31/2018,7654.55
9/3/2018,7654.55
9/4/2018,7622.32
9/5/2018,7523.26
9/6/2018,7453.17
9/7/2018,7430.26
9/10/2018,7447.68
9/11/2018,7507.87
9/12/2018,7488.06
9/13/2018,7561.69
9/14/2018,7545.5
9/17/2018,7434.73
9/18/2018,7494.4
9/19/2018,7490.32
9/20/2018,7569.04
9/21/2018,7531.07
9/24/2018,7548.75
9/25/2018,7563.19
9/26/2018,7563.09
9/27/2018,7629.57
9/28/2018,7627.65
10/1/2018,7645.45
10/2/2018,7628.28
10/3/2018,7637.43
10/4/2018,7490
10/5/2018,7399.01
10/8/2018,7352.82
10/9/2018,7371.62
10/10/2018,7044.5
10/11/2018,6964.03
10/12/2018,7157.21
10/15/2018,7068.67
10/16/2018,7276.43
10/17/2018,7278.63
10/18/2018,7116.09
10/19/2018,7107.23
10/22/2018,7141.21
10/23/2018,7118.67
10/24/2018,6789.15
10/25/2018,7016.39
10/26/2018,6852.4
10/29/2018,6713.9
10/30/2018,6810.12
10/31/2018,6967.1
11/1/2018,7069.17
11/2/2018,6965.29
11/5/2018,6937.09
11/6/2018,6988.85
11/7/2018,7203.13
11/8/2018,7158.59
11/9/2018,7039.15
11/12/2018,6829.1
11/13/2018,6830.91
11/14/2018,6769.87
11/15/2018,6890.45
11/16/2018,6867.02
11/19/2018,6642.92
11/20/2018,6526.96
11/21/2018,6575.66
11/22/2018,6575.66
11/23/2018,6527.35
11/26/2018,6678.34
11/27/2018,6701.04
11/28/2018,6913.33
11/29/2018,6892.4
11/30/2018,6949.01
12/3/2018,7062.13
12/4/2018,6795.21
12/5/2018,6795.21
12/6/2018,6838.85
12/7/2018,6613.28
12/10/2018,6682.74
12/11/2018,6704.24
12/12/2018,6763.96
12/13/2018,6767.97
12/14/2018,6594.96
12/17/2018,6448.39
12/18/2018,6491.52
12/19/2018,6342.97
12/20/2018,6243.2
12/21/2018,6046.56
12/24/2018,5899.35
12/25/2018,5899.35
12/26/2018,6262.77
12/27/2018,6288.3
12/28/2018,6285.27
12/31/2018,6329.96
1/1/2019,6329.96
1/2/2019,6360.87
1/3/2019,6147.13
1/4/2019,6422.67
1/7/2019,6488.25
1/8/2019,6551.85
1/9/2019,6600.69
1/10/2019,6620.94
1/11/2019,6601.4
1/14/2019,6541.04
1/15/2019,6669.64
1/16/2019,6668.56
1/17/2019,6718.45
1/18/2019,6784.61
1/21/2019,6784.61
1/22/2019,6646.81
1/23/2019,6658.76
1/24/2019,6702.55
1/25/2019,6787.37
1/28/2019,6697.09
1/29/2019,6632.79
1/30/2019,6807.91
1/31/2019,6906.84
2/1/2019,6875.52
2/4/2019,6959.96
2/5/2019,7023.52
2/6/2019,6997.62
2/7/2019,6904.98
2/8/2019,6913.13
2/11/2019,6909.19
2/12/2019,7014.67
2/13/2019,7015.88
2/14/2019,7022.42
2/15/2019,7055.18
2/18/2019,7055.18
2/19/2019,7066.61
2/20/2019,7062.34
2/21/2019,7035.16
2/22/2019,7090.63
2/25/2019,7115.43
2/26/2019,7123.22
2/27/2019,7117
2/28/2019,7097.53
3/1/2019,7151.57
3/4/2019,7150.83
3/5/2019,7156.79
3/6/2019,7112.47
3/7/2019,7026.88
3/8/2019,7015.69
3/11/2019,7164.02
3/12/2019,7201.28
3/13/2019,7256.98
3/14/2019,7243.01
3/15/2019,7306.99
3/18/2019,7326.28
3/19/2019,7349.28
3/20/2019,7380.75
3/21/2019,7493.27
3/22/2019,7326.06
3/25/2019,7316.96
3/26/2019,7351.15
3/27/2019,7308.19
3/28/2019,7320.47
3/29/2019,7378.77
4/1/2019,7478.42
4/2/2019,7499.64
4/3/2019,7544.97
4/4/2019,7540.57
4/5/2019,7578.84
4/8/2019,7599.74
4/9/2019,7568.49
4/10/2019,7611.49
4/11/2019,7594.89
4/12/2019,7628.15
4/15/2019,7629.12
4/16/2019,7654.73
4/17/2019,7680.72
4/18/2019,7689.72
4/19/2019,7689.72
4/22/2019,7713.5
4/23/2019,7810.71
4/24/2019,7784.41
4/25/2019,7816.92
4/26/2019,7826.68
4/29/2019,7839.04
4/30/2019,7781.46
5/1/2019,7751.85
5/2/2019,7724.06
5/3/2019,7845.73
5/6/2019,7794.09
5/7/2019,7640.15
5/8/2019,7617.55
5/9/2019,7582.75
5/10/2019,7586.53
5/13/2019,7324.13
5/14/2019,7401.88
5/15/2019,7503.25
5/16/2019,7580.14
5/17/2019,7503.68
5/20/2019,7376.7
5/21/2019,7451.02
5/22/2019,7420.66
5/23/2019,7307.93
5/24/2019,7300.96
5/27/2019,7300.96
5/28/2019,7278.38
5/29/2019,7216.86
5/30/2019,7245.4
5/31/2019,7127.96
6/3/2019,6978.02
6/4/2019,7166.75
6/5/2019,7220.9
6/6/2019,7275.93
6/7/2019,7417.29
6/10/2019,7501.93
6/11/2019,7513.85
6/12/2019,7472.29
6/13/2019,7510.68
6/14/2019,7479.11
6/17/2019,7526.52
6/18/2019,7635.4
6/19/2019,7667.74
6/20/2019,7738.06
6/21/2019,7728.78
6/24/2019,7723.02
6/25/2019,7591.54
6/26/2019,7627.05
6/27/2019,7657.05
6/28/2019,7671.08
7/1/2019,7768.14
7/2/2019,7799.82
7/3/2019,7857.69
7/4/2019,7857.69
7/5/2019,7841.3
7/8/2019,7785.79
7/9/2019,7826.86
7/10/2019,7903.4
7/11/2019,7896.78
7/12/2019,7943.24
7/15/2019,7966.93
7/16/2019,7927.08
7/17/2019,7888.76
7/18/2019,7904.13
7/19/2019,7834.9
7/22/2019,7905.12
7/23/2019,7954.56
7/24/2019,8010.61
7/25/2019,7929.87
7/26/2019,8016.95
7/29/2019,7989.08
7/30/2019,7952.47
7/31/2019,7848.78
8/1/2019,7801.15
8/2/2019,7692.8
8/5/2019,7415.69
8/6/2019,7521.32
8/7/2019,7551.9
8/8/2019,7724.83
8/9/2019,7646.27
8/12/2019,7561.68
8/13/2019,7728.15
8/14/2019,7490.13
8/15/2019,7484.89
8/16/2019,7604.11
8/19/2019,7719.32
8/20/2019,7664.47
8/21/2019,7733.22
8/22/2019,7707.43
8/23/2019,7465
8/26/2019,7575.02
8/27/2019,7566.03
8/28/2019,7587.9
8/29/2019,7702.31
8/30/2019,7691
9/2/2019,7691
9/3/2019,7609.51
9/4/2019,7719.25
9/5/2019,7862.54
9/6/2019,7852.54
9/9/2019,7832.4
9/10/2019,7814.74
9/11/2019,7887.58
9/12/2019,7917.34
9/13/2019,7892.96
9/16/2019,7852.41
9/17/2019,7888.79
9/18/2019,7888.56
9/19/2019,7901.79
9/20/2019,7823.55
9/23/2019,7818.61
9/24/2019,7710.04
9/25/2019,7803.54
9/26/2019,7771.99
9/27/2019,7681.58
9/30/2019,7749.45
10/1/2019,7684.14
10/2/2019,7550.79
10/3/2019,7638.4
10/4/2019,7754.1
10/7/2019,7725.13
10/8/2019,7604.27
10/9/2019,7690.53
10/10/2019,7740.36
10/11/2019,7843.88
10/14/2019,7842.33
10/15/2019,7942.85
10/16/2019,7920.21
10/17/2019,7942.14
10/18/2019,7868.49
10/21/2019,7940.33
10/22/2019,7874.62
10/23/2019,7889.47
10/24/2019,7966.72
10/25/2019,8029.22
10/28/2019,8110.67
10/29/2019,8047.51
10/30/2019,8083.11
10/31/2019,8083.83
11/1/2019,8161.17
11/4/2019,8210.66
11/5/2019,8210.18
11/6/2019,8196.03
11/7/2019,8219.65
11/8/2019,8255.89
11/11/2019,8241.91
11/12/2019,8263.79
11/13/2019,8259.81
11/14/2019,8257.83
11/15/2019,8315.52
11/18/2019,8328.48
11/19/2019,8338.74
11/20/2019,8283.75
11/21/2019,8265.62
11/22/2019,8272.05
11/25/2019,8371.93
11/26/2019,8385.75
11/27/2019,8444.71
11/28/2019,8444.71
11/29/2019,8403.69
12/2/2019,8309.26
